"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","number_requested"
"39","MSB","Fish specimens","MSB:Fish:11943",93,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1992,9,24,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:27:30.0",15
"157","MSB","Fish specimens","MSB:Fish:10820",12,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge crossing.",NA,"",1992,7,7,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-F; Storage: 70% EtOH, 212-F;","2019-05-27 02:48:50.0",6
"105","MSB","Fish specimens","MSB:Fish:11180",24,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.328748,-106.554981,316,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.8 kilometers upstream of US HWY 550 bridge, Bernalillo.",NA,"",1992,7,23,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-F; Storage: 70% EtOH, 212-F;","2019-05-27 04:34:30.0",12
"75","MSB","Fish specimens","MSB:Fish:11935",160,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.331351,-106.554682,316,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 1.1 kilometers upstream of US HWY 550 bridge, Bernalillo.",NA,"",1992,9,24,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:27:28.0",15
"23","MSB","Fish specimens","MSB:Fish:12439",21,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.36666667,-106.4833333,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.2 miles upstream of Angostura Diversion Dam.",NA,"",1992,11,5,"Collector(s): Brian K. Lang, John P. Larson, Douglas A. Young, Eric J. Scherff","not recorded",NA,"PreservedSpecimen","verbatim collectors: Brian K. Lang, John P. Larson, Douglas A. Young, Eric J. Scherff,","2019-05-27 02:30:28.0",10
"133","MSB","Fish specimens","MSB:Fish:12447",16,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38033333,-106.4990556,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,"",1992,11,5,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-I; Storage: 70% EtOH, 212-I;","2019-05-27 02:36:17.0",8
"171","MSB","Fish specimens","MSB:Fish:12531",76,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380486,-106.502059,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Albuquerque Main Canal, ca. 300 meters downstream of Angostura Diversion Dam, Algodones.",NA,"",1992,11,13,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Rio Grande Irrigation Canal Study","2019-05-27 02:36:17.0",15
"129","MSB","Fish specimens","MSB:Fish:11161",44,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38063889,-106.5018056,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.7 miles downstream of Angostura Diversion Dam, Algodones.",NA,"",1992,7,23,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 03:53:01.0",15
"138","MSB","Fish specimens","MSB:Fish:11171",19,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38111111,-106.495,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.2 miles upstream of Angostura Diversion Dam.",NA,"",1992,7,23,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-F; Storage: 70% EtOH, 212-F;","2019-05-27 02:03:31.0",10
"27","MSB","Fish specimens","MSB:Fish:14760",17,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.902561,-106.681307,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Cacique Acequia, ca. 0.3 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",1993,7,28,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","not recorded",NA,"PreservedSpecimen","Rio Grande Irrigation Canal Study; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 04:34:47.0",8
"166","MSB","Fish specimens","MSB:Fish:14485",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.929964,-106.681431,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Albuquerque Barr Riverside Drain, return to Rio Grande just upstream of the Atchison, Topeka & Santa Fe Railroad bridge crossing on Isleta Pueblo.",NA,"",1993,7,13,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Irrigation Canal Study; verbatim collectors: Brian K. Lang, Christopher S. Altenbach","2019-05-27 04:34:39.0",8
"26","MSB","Fish specimens","MSB:Fish:19240",13,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.96486111,-106.6824167,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at US Interstate 25 bridge, south of Albuquerque.",NA,".25 meters",1993,10,12,"Collector(s): Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","2019-05-27 03:01:24.0",6
"189","MSB","Fish specimens","MSB:Fish:13350",29,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.96486111,-106.6824167,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at US Interstate HWY I-25 bridge, above the Isleta Indian Reservation boundary, south of Los Padillas.",NA,"",1993,3,11,"Collector(s): Brian K. Lang, Eric J. Scherff, David H. Diffendorfer","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Eric J. Scherff, David H. Diffendorfer; WATER WAS CLEAR WITH MODERATE FLOWS","2019-05-27 04:42:31.0",14
"59","MSB","Fish specimens","MSB:Fish:19192",11,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.986836,-106.685821,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 3.4 miles downstream of the Rio Bravo Blvd. bridge (NM State HWY 500), Albuquerque.",NA,"",1993,8,4,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-U; Storage: 70% EtOH, 212-U; Fishes collected as part of the Pueblo of Isleta water quality issue 1993","2019-05-27 03:29:25.0",6
"74","MSB","Fish specimens","MSB:Fish:19181",48,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.002546,-106.685725,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 2.2 miles downstream of the Rio Bravo Blvd. bridge (NM State HWY 500), Albuquerque.",NA,"",1993,8,4,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach","2019-05-27 03:19:56.0",15
"51","MSB","Fish specimens","MSB:Fish:19170",167,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.008358,-106.678909,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 1.5 miles downstream of the Rio Bravo Blvd. bridge (NM State HWY 500), Albuquerque.",NA,"",1993,8,4,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach","2019-05-27 03:23:10.0",15
"132","MSB","Fish specimens","MSB:Fish:19155",28,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.017503,-106.672569,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 0.7 miles downstream of the Rio Bravo Blvd. bridge (NM State HWY 500), Albuquerque.",NA,"",1993,8,4,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach; FIELD BOOK: BKL93-759 (A&B) COMBINED","2019-05-27 03:01:29.0",14
"125","MSB","Fish specimens","MSB:Fish:19232",11,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,".25 meters-2 meters",1993,10,11,"Collector(s): Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","2019-05-27 03:04:24.0",6
"207","MSB","Fish specimens","MSB:Fish:19044",40,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"",1993,7,27,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 03:04:24.0",15
"213","MSB","Fish specimens","MSB:Fish:14509",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.069269,-106.662946,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, just downstream of NM State HWY 314 or Bridge Blvd SW bridge, Albuquerque.",NA,"",1993,7,15,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","GeoLocate",NA,"PreservedSpecimen","Rio Grande Irrigation Canal Study; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 04:16:28.0",8
"97","MSB","Fish specimens","MSB:Fish:19222",29,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,".25 meters-2 meters",1993,10,11,"Collector(s): Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney; 15 SEINE HAULS","2019-05-27 03:01:23.0",14
"143","MSB","Fish specimens","MSB:Fish:19035",118,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"",1993,7,27,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 03:01:25.0",15
"87","MSB","Fish specimens","MSB:Fish:14427",68,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.160444,-106.674606,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande Corrales Main Return Canal, ca. 2.0 miles downstream of the Paseo del Norte bridge, Albuquerque.",NA,"",1993,7,12,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Irrigation Canal Study; verbatim collectors: Brian K. Lang, Christopher S. Altenbach","2019-05-27 04:16:27.0",15
"38","MSB","Fish specimens","MSB:Fish:19431",59,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales Siphon, at the Corrales-Rio Rancho municipal limit, Corrales.",NA,"",1993,7,27,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 03:16:54.0",15
"108","MSB","Fish specimens","MSB:Fish:18694",64,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales Siphon (Corrales Waterway Canal) at the Rio Rancho-Corrales municipal limits.",NA,"",1993,7,12,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Brian K. Lang, Christopher S. Altenbach; 13 SEINE HAULS; 5 LARVAL HAULS","2019-05-27 02:52:15.0",15
"149","MSB","Fish specimens","MSB:Fish:18799",29,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales siphon, at the Corrales-Rio Rancho municipal limits, Corrales.",NA,"",1993,8,12,"Collector(s): Christopher S. Altenbach, Steven P. Platania","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Christopher S. Altenbach, Steven P. Platania; 19 SEINE HAULS, 9 LARVAL HAULS","2019-05-27 02:58:19.0",14
"127","MSB","Fish specimens","MSB:Fish:19212",22,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,".25 meters-2 meters",1993,10,11,"Collector(s): Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney; 15 SEINE HAULS","2019-05-27 03:07:28.0",11
"24","MSB","Fish specimens","MSB:Fish:19643",23,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"1 meter",1994,10,8,"Collector(s): Steven P. Platania, Christopher S. Altenbach, James P. Larson","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, James P. Larson","2019-05-27 03:23:18.0",12
"147","MSB","Fish specimens","MSB:Fish:20462",27,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"",1994,7,25,"Collector(s): Steven P. Platania, Nancy M. Johnston, Gregory M. Lein","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Nancy M. Johnston, Gregory M. Lein; WATER HAS RUNS, RIFFLES AND POOLS","2019-05-27 03:39:07.0",14
"159","MSB","Fish specimens","MSB:Fish:19633",20,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"1.5 meters",1994,10,8,"Collector(s): Steven P. Platania, Christopher S. Altenbach, James P. Larson","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, James P. Larson","2019-05-27 03:16:59.0",10
"30","MSB","Fish specimens","MSB:Fish:19567",35,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 4 miles downstream of NM State HWY 44 bridge, at Rio Rancho Wastewater treatment plant, Rio Rancho.",NA,"1.5 meters",1994,11,21,"Collector(s): Steven P. Platania, Gregory M. Lein","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Gregory M. Lein","2019-05-27 03:16:49.0",15
"34","MSB","Fish specimens","MSB:Fish:19010",63,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,6,28,"Collector(s): Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Christopher S. Altenbach; WATER WAS RELATIVELY CLEAR.","2019-05-27 03:26:18.0",15
"35","MSB","Fish specimens","MSB:Fish:20404",24,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,8,11,"Collector(s): Steven P. Platania, Gregory M. Lein","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Gregory M. Lein; WATER-RUNS, RIFFLES, POOLS","2019-05-27 03:32:58.0",12
"110","MSB","Fish specimens","MSB:Fish:19684",36,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"1 meter",1994,10,8,"Collector(s): Steven P. Platania, Christopher S. Altenbach, James P. Larson","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, James P. Larson","2019-05-27 02:55:11.0",15
"214","MSB","Fish specimens","MSB:Fish:18629",23,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.39216667,-106.4783611,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 1.8 miles upstream of Angostura Diversion Dam, San Felipe Pueblo.",NA,"",1994,7,21,"Collector(s): Steven P. Platania, Christopher S. Altenbach, Nancy M. Johnston","not recorded",NA,"PreservedSpecimen","MSB 1994 Survey of Pueblo Lands for Hybognathus amarus; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, Nancy M. Johnston","2019-05-27 02:52:13.0",12
"183","MSB","Fish specimens","MSB:Fish:25052",16,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"1.5 meters",1995,8,3,"Collector(s): Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach, B. M. Sanchez","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach, B. M. Sanchez, ; SAMPLED WITH BLANE SANCHEZ FROM ISLETA PUEBLO","2019-05-27 05:24:35.0",8
"152","MSB","Fish specimens","MSB:Fish:25464",14,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"1.5 meters",1995,10,23,"Collector(s): Steven P. Platania, Gregory M. Lein, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Robert K. Dudley","2019-05-27 04:51:41.0",7
"118","MSB","Fish specimens","MSB:Fish:25029",62,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"1.25 meters",1995,8,2,"Collector(s): Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","2019-05-27 05:22:00.0",15
"161","MSB","Fish specimens","MSB:Fish:25455",83,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"1.5 meters",1995,10,23,"Collector(s): Steven P. Platania, Gregory M. Lein, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Robert K. Dudley","2019-05-27 04:57:08.0",15
"63","MSB","Fish specimens","MSB:Fish:30040",51,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.13539167,-106.6684167,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Montano Bridge crossing on Montano Road, Albuquerque.",NA,"1.5 meters",1995,10,24,"Collector(s): Steven P. Platania, Gregory M. Lein, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","MSB 1995-96 Monitoring of Rio Grande, Montano Bridge Construction Area; verbatim collectors: Steven P. Platania, Gregory M. Lein, Robert K. Dudley","2019-05-27 05:00:23.0",15
"29","MSB","Fish specimens","MSB:Fish:24883",13,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"1.5 meters",1995,5,18,"Collector(s): Steven P. Platania, Gregory M. Lein, John P. Larson","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, John P. Larson","2019-05-27 02:42:08.0",6
"50","MSB","Fish specimens","MSB:Fish:25015",77,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"1.25 meters",1995,8,2,"Collector(s): Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","2019-05-27 04:42:53.0",15
"130","MSB","Fish specimens","MSB:Fish:24924",13,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"2 meters",1995,5,11,"Collector(s): Steven P. Platania, Gregory M. Lein","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Gregory M. Lein","2019-05-27 04:46:26.0",6
"131","MSB","Fish specimens","MSB:Fish:24967",22,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"2 meters",1995,7,11,"Collector(s): Gregory M. Lein, Christopher S. Altenbach, James P. Larson","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Gregory M. Lein, Christopher S. Altenbach, James P. Larson","2019-05-27 05:24:31.0",11
"119","MSB","Fish specimens","MSB:Fish:25004",332,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"1.25 meters",1995,8,2,"Collector(s): Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","2019-05-27 04:39:13.0",15
